StudentID,Name,Gender,Department,Age,StudyHours,Attendance,Math,Physics,Programming,Average
1001,Rahim,M,CSE,20.0,15.0,92.0,88.0,84.0,95.0,89.0
1002,Karim,M,Math,21.0,10.0,85.0,75.0,70.0,78.0,74.33333333333333
1003,Anika,F,CSE,19.0,18.0,98.0,95.0,92.0,99.0,95.33333333333333
1004,Sadia,F,EEE,22.0,8.0,75.0,68.0,65.0,72.0,68.33333333333333
1005,Nusrat,F,Math,20.75,12.0,88.0,82.0,80.0,85.0,82.33333333333333
1006,Jamal,M,BBA,23.0,6.0,70.0,60.0,58.0,62.0,60.0
1007,Rafi,M,CSE,21.0,20.0,95.0,91.0,89.0,98.0,92.66666666666667
1008,Tania,F,Math,20.75,14.0,90.0,86.0,82.0,90.0,86.0
1009,Mim,No Gender,EEE,22.0,12.0,72.0,70.0,68.0,74.0,70.66666666666667
1010,Rasel,M,BBA,20.75,7.0,68.0,65.0,61.0,69.0,65.0
1011,Nabila,F,CSE,19.0,16.0,96.0,93.0,90.0,97.0,93.33333333333333
1012,Arif,M,Math,21.0,11.0,85.6470588235294,78.0,76.0,81.0,78.33333333333333
1013,Sohan,M,EEE,23.0,13.0,81.0,74.0,72.0,76.0,74.0
1014,Lamia,F,BBA,22.0,8.0,73.0,82.0,66.0,71.0,73.0
1015,Fahim,M,CSE,20.0,19.0,99.0,97.0,95.0,100.0,97.33333333333333
1017,Unknown,No Gender,BIO,18.0,12.0,85.6470588235294,82.0,74.5,88.0,81.5
1018,Unknown,F,Math,20.75,12.0,85.6470588235294,82.0,50.0,82.0,71.33333333333333
1019,John123,M,CSE,20.0,12.0,84.0,85.0,73.0,79.0,79.0
1020,Sara,F,Chemistry,21.0,10.0,91.0,79.0,74.5,82.0,78.5
